antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Consume_Verdura'}),frozenset({'Consume_Fruta'}),0.688,0.642,0.443,0.6438953488372093,1.0029522567557778,1.0,0.0013040000000000274,1.005322448979592,0.00943450830584033,0.49943630214205187,0.005294270494998103,0.6669632507425922
frozenset({'Consume_Fruta'}),frozenset({'Consume_Verdura'}),0.642,0.688,0.443,0.6900311526479751,1.0029522567557778,1.0,0.0013040000000000274,1.0065527638190956,0.008222253048665319,0.49943630214205187,0.0065101046409460055,0.6669632507425922
